bill_number,dtg_date,lla_date,vetoed_by_gov,time_to_dtg
senate        Bill S3467,2011-09-12,2011-06-16,True,88 days
senate        Bill S3469A,2011-08-05,2011-06-14,False,52 days
senate        Bill S3470,2011-07-08,2011-06-20,False,18 days
senate        Bill S3482A,2011-09-12,2011-06-16,True,88 days
senate        Bill S3488,2011-07-08,2011-06-16,False,22 days
senate        Bill S3489A,2011-08-05,2011-06-20,False,46 days
senate        Bill S3499A,2011-08-05,2011-06-15,False,51 days
senate        Bill S3500,2011-03-03,2011-03-03,False,0 days
senate        Bill S3503B,2011-08-05,2011-06-20,False,46 days
senate        Bill S3505,2011-07-22,2011-06-21,False,31 days
senate        Bill S3510B,2011-11-30,2011-06-20,False,163 days
senate        Bill S3536,2011-04-01,2011-03-22,False,10 days
senate        Bill S3550,2011-08-05,2011-06-21,False,45 days
senate        Bill S3552A,2012-07-06,2012-06-12,False,24 days
senate        Bill S3579,2011-09-12,2011-06-14,False,90 days
senate        Bill S3605,2011-08-05,2011-06-15,True,51 days
senate        Bill S3626,2011-09-12,2011-06-13,False,91 days
senate        Bill S3649A,2011-09-12,2011-06-23,False,81 days
senate        Bill S3667,2011-07-22,2011-06-17,False,35 days
senate        Bill S3716,2011-09-12,2011-06-17,True,87 days
senate        Bill S3720,2011-07-22,2011-06-16,False,36 days
senate        Bill S3721,2011-08-05,2011-06-16,False,50 days
senate        Bill S3736A,2011-08-05,2011-06-06,True,60 days
senate        Bill S3739A,2012-08-06,2012-06-20,False,47 days
senate        Bill S3745,2011-07-08,2011-05-02,False,67 days
senate        Bill S3755B,2011-08-24,2011-06-20,False,65 days
senate        Bill S3757,2011-07-22,2011-06-01,False,51 days
senate        Bill S3762,2011-07-22,2011-06-22,False,30 days
senate        Bill S3764A,2011-06-10,2011-06-01,False,9 days
senate        Bill S3769,2011-07-22,2011-06-14,False,38 days
senate        Bill S3770,2011-07-22,2011-06-20,False,32 days
senate        Bill S3771,2011-05-20,2011-05-10,False,10 days
senate        Bill S3776,2011-05-20,2011-05-10,False,10 days
senate        Bill S3777A,2011-06-10,2011-06-01,False,9 days
senate        Bill S3779,2012-05-21,2012-05-07,False,14 days
senate        Bill S3791,2011-09-12,2011-06-15,False,89 days
senate        Bill S3792,2011-07-22,2011-06-20,False,32 days
senate        Bill S3796,2011-05-23,2011-05-09,False,14 days
senate        Bill S3798,2011-08-16,2011-06-16,False,61 days
senate        Bill S3801A,2012-07-20,2012-06-20,False,30 days
senate        Bill S3807A,2011-07-22,2011-06-15,False,37 days
senate        Bill S3808B,2012-07-06,2012-06-20,False,16 days
senate        Bill S3809A,2012-08-06,2012-06-21,False,46 days
senate        Bill S3811,2011-08-05,2011-06-20,False,46 days
senate        Bill S3828,2011-07-22,2011-06-21,False,31 days
senate        Bill S3834A,2011-08-05,2011-06-17,False,49 days
senate        Bill S3844B,2012-07-20,2012-05-07,False,74 days
senate        Bill S3858B,2011-08-05,2011-06-20,False,46 days
senate        Bill S3859,2011-07-08,2011-06-13,False,25 days
senate        Bill S3860A,2011-05-27,2011-05-23,False,4 days
senate        Bill S3870,2011-04-01,2011-03-29,False,3 days
senate        Bill S3872C,2012-08-06,2012-06-21,False,46 days
senate        Bill S3888,2011-05-06,2011-05-03,False,3 days
senate        Bill S3896,2011-07-08,2011-06-22,False,16 days
senate        Bill S3901A,2011-09-12,2011-06-16,False,88 days
senate        Bill S3905,2012-08-06,2012-06-21,False,46 days
senate        Bill S3911A,2011-06-10,2011-06-01,False,9 days
senate        Bill S3914A,2011-07-08,2011-06-20,False,18 days
senate        Bill S3915,2011-05-27,2011-05-25,False,2 days
senate        Bill S3916,2011-05-20,2011-05-17,False,3 days
senate        Bill S3917,2011-05-27,2011-05-23,False,4 days
senate        Bill S3918,2011-05-27,2011-05-23,False,4 days
senate        Bill S3928,2011-03-23,2011-03-22,False,1 days
senate        Bill S3944,2011-09-12,2011-06-15,False,89 days
senate        Bill S3945A,2011-08-05,2011-06-17,False,49 days
senate        Bill S3946,2011-08-05,2011-06-13,False,53 days
senate        Bill S3947,2011-07-22,2011-06-14,False,38 days
senate        Bill S3949B,2011-07-08,2011-06-21,False,17 days
senate        Bill S3953B,2011-09-12,2011-06-14,False,90 days
senate        Bill S3959,2012-08-06,2012-06-19,False,48 days
senate        Bill S3965,2011-07-08,2011-06-16,False,22 days
senate        Bill S3986,2011-07-08,2011-06-14,False,24 days
senate        Bill S3987B,2011-07-08,2011-06-22,False,16 days
senate        Bill S3988B,2011-09-12,2011-06-22,False,82 days
senate        Bill S3994A,2011-07-08,2011-06-20,False,18 days
senate        Bill S3996,2011-07-22,2011-06-14,False,38 days
senate        Bill S3997,2011-07-22,2011-06-13,False,39 days
senate        Bill S4005A,2011-10-31,2011-06-17,False,136 days
senate        Bill S4012,2011-07-22,2011-06-06,False,46 days
senate        Bill S4013C,2011-08-05,2011-06-21,False,45 days
senate        Bill S4014A,2011-07-08,2011-06-20,False,18 days
senate        Bill S4020C,2012-07-03,2012-06-21,False,12 days
senate        Bill S4021,2011-07-08,2011-06-16,False,22 days
senate        Bill S4022,2011-07-08,2011-06-13,False,25 days
senate        Bill S4025A,2011-09-12,2011-06-16,True,88 days
senate        Bill S4030,2011-06-27,2011-06-13,False,14 days
senate        Bill S4031,2011-05-27,2011-05-17,False,10 days
senate        Bill S4032,2011-06-28,2011-06-16,False,12 days
senate        Bill S4033,2011-07-08,2011-06-15,False,23 days
senate        Bill S4035,2011-07-08,2011-06-23,False,15 days
senate        Bill S4038B,2011-10-04,2011-06-17,False,109 days
senate        Bill S4040A,2012-08-06,2012-05-31,False,67 days
senate        Bill S4045A,2011-07-22,2011-06-16,False,36 days
senate        Bill S4047,2011-07-22,2011-06-13,False,39 days
senate        Bill S4048A,2011-07-22,2011-06-21,False,31 days
senate        Bill S4049,2011-07-08,2011-06-13,False,25 days
senate        Bill S4050B,2011-09-12,2011-06-22,True,82 days
senate        Bill S4053A,2011-08-05,2011-06-17,False,49 days
senate        Bill S4054A,2011-05-20,2011-05-17,False,3 days
senate        Bill S4056,2011-07-22,2011-06-15,False,37 days
senate        Bill S4067A,2011-07-11,2011-06-24,True,17 days
senate        Bill S4071,2011-06-28,2011-06-14,False,14 days
senate        Bill S4072A,2011-07-08,2011-06-17,False,21 days
senate        Bill S4078,2011-08-05,2011-06-16,False,50 days
senate        Bill S4080,2011-05-20,2011-05-09,False,11 days
senate        Bill S4084,2011-09-12,2011-06-16,False,88 days
senate        Bill S4085A,2011-07-22,2011-06-21,False,31 days
senate        Bill S4089,2011-05-06,2011-05-02,False,4 days
senate        Bill S4091B,2011-10-04,2011-06-16,False,110 days
senate        Bill S4101A,2011-09-12,2011-06-17,False,87 days
senate        Bill S4104,2011-08-05,2011-06-20,True,46 days
senate        Bill S4112,2012-08-06,2012-06-20,True,47 days
senate        Bill S4120,2011-05-27,2011-05-23,False,4 days
senate        Bill S4131,2011-07-08,2011-06-13,False,25 days
senate        Bill S4143A,2011-07-22,2011-06-16,False,36 days
senate        Bill S4144,2011-05-27,2011-05-25,False,2 days
senate        Bill S4146,2011-09-12,2011-06-15,False,89 days
senate        Bill S4151,2011-07-08,2011-06-14,False,24 days
senate        Bill S4161,2011-09-12,2011-06-15,False,89 days
senate        Bill S4162,2011-06-10,2011-06-06,False,4 days
senate        Bill S4164,2011-08-05,2011-06-01,False,65 days
senate        Bill S4165A,2011-07-08,2011-06-16,False,22 days
senate        Bill S4184,2011-07-22,2011-06-22,False,30 days
senate        Bill S4186,2011-07-08,2011-06-17,False,21 days
senate        Bill S4187,2011-07-08,2011-06-16,False,22 days
senate        Bill S4188,2011-07-08,2011-06-20,False,18 days
senate        Bill S4196,2011-07-08,2011-06-13,False,25 days
senate        Bill S4200,2011-09-12,2011-06-20,False,84 days
senate        Bill S4201,2011-07-08,2011-06-17,False,21 days
senate        Bill S4206,2011-08-05,2011-06-17,False,49 days
senate        Bill S4209,2011-08-05,2011-06-22,True,44 days
senate        Bill S4211,2011-04-15,2011-04-12,False,3 days
senate        Bill S4216,2011-07-08,2011-06-13,False,25 days
senate        Bill S4222,2011-04-01,2011-03-30,False,2 days
senate        Bill S4226,2011-09-12,2011-06-14,False,90 days
senate        Bill S4231,2011-07-22,2011-06-13,False,39 days
senate        Bill S4232,2011-07-08,2011-06-16,False,22 days
senate        Bill S4233,2011-05-27,2011-05-23,False,4 days
senate        Bill S4235,2011-07-22,2011-06-16,False,36 days
senate        Bill S4242B,2011-09-12,2011-06-15,True,89 days
senate        Bill S4244C,2011-07-22,2011-06-20,False,32 days
senate        Bill S4245,2011-10-04,2011-06-15,False,111 days
senate        Bill S4248,2011-05-06,2011-05-02,False,4 days
senate        Bill S4253B,2011-09-12,2011-06-20,False,84 days
senate        Bill S4255,2012-09-21,2012-06-14,True,99 days
senate        Bill S4257C,2011-12-15,2011-06-24,False,174 days
senate        Bill S4264C,2011-07-22,2011-06-20,False,32 days
senate        Bill S4267B,2011-09-12,2011-06-20,False,84 days
senate        Bill S4268C,2012-08-06,2012-06-19,False,48 days
senate        Bill S4269A,2011-07-08,2011-06-23,False,15 days
senate        Bill S4287B,2012-07-20,2012-05-14,False,67 days
senate        Bill S4290A,2011-08-05,2011-06-15,False,51 days
senate        Bill S4293,2011-07-22,2011-06-22,False,30 days
senate        Bill S4294,2011-07-22,2011-06-13,False,39 days
senate        Bill S4300,2011-07-08,2011-06-20,False,18 days
senate        Bill S4302A,2011-07-22,2011-06-23,False,29 days
senate        Bill S4303C,2012-07-06,2012-06-12,False,24 days
senate        Bill S4308,2011-09-12,2011-06-17,False,87 days
